acao;tecnica;validacao_tamanho_base;validacao_y_pred_quant_0;validacao_y_pred_quant_1;validacao_y_true_quant_0;validacao_y_true_quant_1;validacao_accuracy;validacao_f1_score;validacao_log_loss;validacao_precision;validacao_recall;validacao_roc_auc_score
PETRP24;LinearSVC;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;AdaBoostClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;MultinomialNB;6;6;0;1;5;0.16666666666666666;0.0;28.78231366242557;0.0;0.0;0.5
PETRP24;KNeighborsClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;GaussianProcessClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;SGDClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;MLPClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;BernoulliNB;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;RandomForestClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;PassiveAggressiveClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;LabelPropagation;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;LabelSpreading;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;ExtraTreeClassifier;6;2;4;1;5;0.5;0.6666666666666665;17.269521463693707;0.75;0.6;0.3
PETRP24;RidgeClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;RidgeClassifierCV;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;GradientBoostingClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;LogisticRegression;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP25;LinearDiscriminantAnalysis;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;ExtraTreeClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;PassiveAggressiveClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;LabelSpreading;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;LogisticRegression;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;AdaBoostClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;CalibratedClassifierCV;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;MLPClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;ExtraTreesClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;SGDClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;LinearSVC;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;GaussianProcessClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;MultinomialNB;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;RandomForestClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
